pulse_count,tube_rate,wall_time,monotonic
35440,16.759,1782447131.7352116,12765.26079293
35440,16.759,1782447132.7351906,12766.260772076
35440,16.759,1782447133.7352178,12767.260799453
35440,16.759,1782447134.7352564,12768.260837843
35441,15.479,1782447135.735239,12769.260820135
35441,15.479,1782447136.7352548,12770.260836119
35441,15.479,1782447137.735208,12771.260789326
35441,15.479,1782447138.735197,12772.260778569
35441,15.479,1782447139.7352178,12773.260799494
35442,15.479,1782447140.7351766,12774.260757817
35442,14.649,1782447141.7352054,12775.260788198
35442,14.649,1782447142.7351792,12776.260760768
35443,14.649,1782447143.7351742,12777.260755505
35443,14.841,1782447144.7351701,12778.26075137
35443,14.841,1782447145.735171,12779.260752307
35443,14.841,1782447146.735171,12780.260752333
35443,14.841,1782447147.735251,12781.260832433
35443,14.841,1782447148.7351758,12782.260757194
35443,14.841,1782447149.735247,12783.260828226
35444,14.252,1782447150.7352645,12784.26084631
35445,15.743,1782447151.7352116,12785.260792712
35445,15.743,1782447152.7351747,12786.260756062
35445,15.743,1782447153.735206,12787.26078737
35445,15.743,1782447154.735212,12788.260793427
35446,16.704,1782447155.7352118,12789.260793389
35446,16.704,1782447156.735198,12790.260779403
35446,16.704,1782447157.7352114,12791.260792646
35447,18.162,1782447158.735164,12792.260745303
35448,18.538,1782447159.7351975,12793.260778756
35448,18.538,1782447160.735241,12794.26082218
35449,18.538,1782447161.735178,12795.260759422
35449,18.112,1782447162.7352142,12796.260795623
35449,18.112,1782447163.7351987,12797.260779984
35449,18.112,1782447164.7351844,12798.260765769
35449,18.112,1782447165.7351718,12799.260753275
35449,18.112,1782447166.7351716,12800.260752846
35449,18.112,1782447167.735174,12801.26075535
35449,18.112,1782447168.7351716,12802.26075285
35450,17.157,1782447169.7351742,12803.260755592
35450,17.157,1782447170.7351723,12804.260753649
35450,17.157,1782447171.735198,12805.26077919
35450,17.157,1782447172.735195,12806.26077642
35451,17.157,1782447173.7352502,12807.26083156
